symbol,base_asset,quote_asset,perp_status,spot_status,route_class,asset_tag,asset_tag_confidence,asset_tag_source,positive_funding_candidate,negative_funding_status,current_funding_rate,next_funding_time,funding_history_summary,futures_min_notional,spot_min_notional,effective_min_notional,futures_step_size,spot_step_size,data_timestamp,source_files,exclusion_reason,funding_signal_status
BICOUSDT,BICO,USDT,TRADING,TRADING,MARGIN_SPOT_CANDIDATE,CRYPTO,HIGH,exchangeInfo,True,PRIVATE_BORROW_VALIDATION_REQUIRED,-0.00017869,1783036800000,{},5,5.00000000,5,1,0.01000000,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",,CURRENT_ACTIONABLE
BIDUSDT,BID,USDT,SETTLING,,PERP_ONLY_EXCLUDED,CRYPTO,HIGH,exchangeInfo,False,DISABLED_PERP_ONLY,0E-8,0,{},5,,5,1,,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",NO_SPOT_MARKET,STALE_OR_PREVIOUS_PERIOD
BIGTIMEUSDT,BIGTIME,USDT,TRADING,TRADING,MARGIN_SPOT_CANDIDATE,CRYPTO,HIGH,exchangeInfo,True,PRIVATE_BORROW_VALIDATION_REQUIRED,0.00005000,1783022400000,{},5,5.00000000,5,1,1.00000000,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",,CURRENT_ACTIONABLE
BILLUSDT,BILL,USDT,TRADING,,PERP_ONLY_EXCLUDED,CRYPTO,HIGH,exchangeInfo,False,DISABLED_PERP_ONLY,0.00005000,1783022400000,{},5,,5,1,,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",NO_SPOT_MARKET,CURRENT_ACTIONABLE
BIOUSDT,BIO,USDT,TRADING,TRADING,MARGIN_SPOT_CANDIDATE,CRYPTO,HIGH,exchangeInfo,True,PRIVATE_BORROW_VALIDATION_REQUIRED,0.00005000,1783022400000,{},5,5.00000000,5,1,0.10000000,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",,CURRENT_ACTIONABLE
BIRBUSDT,BIRB,USDT,TRADING,,PERP_ONLY_EXCLUDED,CRYPTO,HIGH,exchangeInfo,False,DISABLED_PERP_ONLY,-0.00291815,1783022400000,{},5,,5,1,,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",NO_SPOT_MARKET,CURRENT_ACTIONABLE
BLESSUSDT,BLESS,USDT,TRADING,,PERP_ONLY_EXCLUDED,CRYPTO,HIGH,exchangeInfo,False,DISABLED_PERP_ONLY,0.00005000,1783022400000,{},5,,5,1,,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",NO_SPOT_MARKET,CURRENT_ACTIONABLE
BLUAIUSDT,BLUAI,USDT,TRADING,,PERP_ONLY_EXCLUDED,CRYPTO,HIGH,exchangeInfo,False,DISABLED_PERP_ONLY,0.00008350,1783022400000,{},5,,5,1,,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",NO_SPOT_MARKET,CURRENT_ACTIONABLE
BLURUSDT,BLUR,USDT,TRADING,TRADING,MARGIN_SPOT_CANDIDATE,CRYPTO,HIGH,exchangeInfo,True,PRIVATE_BORROW_VALIDATION_REQUIRED,0.00005000,1783022400000,{},5,5.00000000,5,1,0.10000000,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",,CURRENT_ACTIONABLE
BLZUSDT,BLZ,USDT,SETTLING,,PERP_ONLY_EXCLUDED,CRYPTO,HIGH,exchangeInfo,False,DISABLED_PERP_ONLY,0E-8,1783022400000,{},5,,5,1,,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",NO_SPOT_MARKET,CURRENT_ACTIONABLE
BMTUSDT,BMT,USDT,TRADING,TRADING,MARGIN_SPOT_CANDIDATE,CRYPTO,HIGH,exchangeInfo,True,PRIVATE_BORROW_VALIDATION_REQUIRED,0.00005000,1783022400000,{},5,5.00000000,5,1,0.10000000,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",,CURRENT_ACTIONABLE
BNBUSDT,BNB,USDT,TRADING,TRADING,MARGIN_SPOT_CANDIDATE,CRYPTO,HIGH,exchangeInfo,True,PRIVATE_BORROW_VALIDATION_REQUIRED,0.00010639,1783036800000,{},5,5.00000000,5,0.01,0.00100000,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",,CURRENT_ACTIONABLE
BNTUSDT,BNT,USDT,TRADING,TRADING,MARGIN_SPOT_CANDIDATE,CRYPTO,HIGH,exchangeInfo,True,PRIVATE_BORROW_VALIDATION_REQUIRED,0.00010000,1783036800000,{},5,5.00000000,5,1,0.10000000,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",,CURRENT_ACTIONABLE
BNXUSDT,BNX,USDT,SETTLING,,PERP_ONLY_EXCLUDED,CRYPTO,HIGH,exchangeInfo,False,DISABLED_PERP_ONLY,0E-8,1783022400000,{},5,,5,0.1,,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",NO_SPOT_MARKET,CURRENT_ACTIONABLE
BOBUSDT,BOB,USDT,SETTLING,,PERP_ONLY_EXCLUDED,CRYPTO,HIGH,exchangeInfo,False,DISABLED_PERP_ONLY,0E-8,1783022400000,{},5,,5,1,,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",NO_SPOT_MARKET,CURRENT_ACTIONABLE
BOMEUSDT,BOME,USDT,TRADING,TRADING,MARGIN_SPOT_CANDIDATE,CRYPTO,HIGH,exchangeInfo,True,PRIVATE_BORROW_VALIDATION_REQUIRED,0.00005000,1783022400000,{},5,1.00000000,5,1,1.00,1783010369633,"[""fapi_exchange_info.json"", ""spot_exchange_info.json"", ""fapi_premium_index.json""]",,CURRENT_ACTIONABLE
